marker,allele,frequency
D3S1358,12,0.05
D3S1358,13,0.10
D3S1358,14,0.20
D3S1358,15,0.25
D3S1358,16,0.20
D3S1358,17,0.15
D3S1358,18,0.05

vWA,14,0.05
vWA,15,0.10
vWA,16,0.20
vWA,17,0.25
vWA,18,0.20
vWA,19,0.10
vWA,20,0.05
vWA,21,0.05
FGA,18,0.05
FGA,19,0.08
FGA,20,0.10
FGA,21,0.15
FGA,22,0.20
FGA,23,0.18
FGA,24,0.12
FGA,25,0.08
FGA,26,0.04
TH01,6,0.10
TH01,7,0.20
TH01,8,0.25
TH01,9,0.30
TH01,10,0.15

D18S51,12,0.10
D18S51,13,0.20
D18S51,14,0.30
D18S51,15,0.25
D18S51,16,0.15

D2S1338,17,0.10
D2S1338,18,0.20
D2S1338,19,0.30
D2S1338,20,0.25
D2S1338,21,0.15

D19S433,11,0.15
D19S433,12,0.25
D19S433,13,0.30
D19S433,14,0.20
D19S433,15,0.10

D16S539,9,0.15
D16S539,10,0.25
D16S539,11,0.30
D16S539,12,0.20
D16S539,13,0.10

D5S818,9,0.10
D5S818,10,0.20
D5S818,11,0.30
D5S818,12,0.25
D5S818,13,0.15

CSF1PO,8,0.10
CSF1PO,9,0.20
CSF1PO,10,0.30
CSF1PO,11,0.25
CSF1PO,12,0.15

